Date,Order ID,Action,Quantity,Price,Stop Loss,Take Profit
20231106151500,5,BUY,160000,1.07262,1.07212,1.07312
20231107100000,5,BUY,160000,1.06837,1.06787,1.06887
20231107114000,8,BUY,158416,1.066825,1.06632,1.06732
20231107190000,11,SELL,158416,1.069895,1.0704,1.0694
20231108091500,5,BUY,160000,1.06629,1.06579,1.06679
20231108145000,5,SELL,160000,1.06887,1.06937,1.06837
20231108155500,8,SELL,160000,1.07057,1.07107,1.07007
20231108160500,11,SELL,161616,1.070725,1.07122,1.07022
20231109140000,5,SELL,160000,1.07075,1.07125,1.07025
20231109180500,8,BUY,160000,1.068,1.0675,1.0685
20231110071000,5,BUY,160000,1.06593,1.06543,1.06643
